ale li pona .	■▁L ■ife ■▁is ■▁beautiful ■▁.
ale li pona .	■▁Everything ■▁is ■▁OK ■▁.
ale li pona .	■▁Everything ■▁is ■▁fine ■▁.
ale li pona .	■▁All ■▁is ■▁well ■▁.
ale li pona .	■▁Everything ■▁will ■▁be ■▁OK ■▁.
ale li pona .	■▁Everything ■▁is ■▁al ■r ■ight ■▁.
ale li pona .	■▁All ■▁is ■▁good ■▁.
mi pilin wawa e ni : ni li lon .	■▁I ■▁am ■▁sure ■▁.
kala li ike tawa mije .	■▁He ■▁does ■▁n't ■▁like ■▁fish ■▁.
ala ! ala ! ni li pona ala .	■▁No ■▁, ■▁no ■▁! ■▁That ■▁'s ■▁not ■▁right ■▁.
pakala ni li tan ala mi .	■▁It ■▁'s ■▁not ■▁my ■▁fau ■lt ■▁.
jan lawa li lon seme ?	■▁Where ■▁'s ■▁the ■▁b ■oss ■▁?
wan , tu , tu wan , tu tu , luka , luka wan , luka tu , luka tu wan , luka tu tu , luka luka .	■▁One ■▁, ■▁two ■▁, ■▁three ■▁, ■▁four ■▁, ■▁five ■▁, ■▁six ■▁, ■▁se ■ven ■▁, ■▁e ■ight ■▁, ■▁n ■ine ■▁, ■▁ten ■▁.
meli ni li unpa lukin .	■▁She ■▁is ■▁lo ■ad ■ed ■▁with ■▁se ■x ■▁app ■e ■al ■▁.
mi wile ala e meli . taso mi wile e jan pona unpa .	■▁It ■▁'s ■▁not ■▁a ■▁wife ■▁that ■▁I ■▁want ■▁, ■▁but ■▁a ■▁se ■x ■▁friend ■▁.
mi unpa e lupa jaki pi meli olin mi la mi tu li wile telo pona e sama .	■▁After ■▁having ■▁an ■al ■▁se ■x ■▁with ■▁my ■▁girlfriend ■▁, ■▁we ■▁usually ■▁need ■▁to ■▁have ■▁a ■▁good ■▁wash ■▁.
ona li jo e mani mute .	■▁He ■▁has ■▁a ■▁lot ■▁of ■▁money ■▁.
ona li jo e mani mute .	■▁He ■▁is ■▁rich ■▁.
jan li toki kepeken toki seme lon ma AN ##KU ?	■▁What ■▁language ■▁do ■▁people ■▁speak ■▁in ■▁K ■ore ■a ■▁?
mi ken ala ken moku e ni ?	■▁Can ■▁I ■▁eat ■▁this ■▁?
mi nasa lili .	■▁I ■▁'m ■▁a ■▁little ■▁cra ■zy ■▁.
mi ken ala lape ala . taso mi wile ala lape .	■▁I ■▁have ■▁to ■▁go ■▁to ■▁sleep ■▁.
sina pali e seme ?	■▁What ■▁are ■▁you ■▁doing ■▁?
ni li seme ?	■▁What ■▁is ■▁it ■▁?
o pilin . ni li pini la o toki .	■▁You ■▁should ■▁think ■▁before ■▁you ■▁begin ■▁to ■▁speak ■▁.
mama mije mi li pali lon tomo pali pi ijo sin .	■▁My ■▁father ■▁works ■▁in ■▁a ■▁fa ■ctor ■y ■▁.
tenpo ni la jan sama meli lili mi li ken lukin li ken sona pona e lipu mute .	■▁My ■▁little ■▁sister ■▁can ■▁read ■▁books ■▁well ■▁now ■▁.
mi toki e ale tawa sina .	■▁I ■▁'ll ■▁tell ■▁you ■▁everything ■▁about ■▁it ■▁.
tenpo ale la jan LA li kama lukin e pakala pi ona meli .	■▁La ■▁always ■▁find ■s ■▁fau ■lt ■▁with ■▁her ■▁.
tenpo suno ni la sina kama nasa tan ijo lili .	■▁You ■▁'ve ■▁sure ■▁got ■▁a ■▁short ■▁f ■use ■▁today ■▁.
mi wile e ni : pali sina li pini pona lon ma IN ##LI .	■▁I ■▁hope ■▁your ■▁ass ■ign ■ment ■▁in ■▁Engl ■and ■▁was ■▁success ■ful ■▁.
mije li pana sona wawa e nasin .	■▁He ■▁explain ■ed ■▁the ■▁r ■ul ■es ■▁in ■▁d ■et ■ail ■▁.
tenpo sike tu wan la mi lon ma NI ##JON .	■▁I ■▁lived ■▁in ■▁Japan ■▁three ■▁years ■▁ago ■▁.
ona li pona lukin mute .	■▁She ■▁'s ■▁very ■▁beautiful ■▁.
o kama lon tomo mi !	■▁Why ■▁do ■▁n't ■▁you ■▁come ■▁in ■▁?
o pana e kon tawa len noka ni !	■▁A ■ir ■▁those ■▁shoes ■▁!
ni li jan lili meli mi .	■▁This ■▁is ■▁my ■▁daughter ■▁.
ni li mije ni : tenpo suno pini la mi toki e mije ni .	■▁This ■▁is ■▁the ■▁man ■▁of ■▁wh ■om ■▁I ■▁sp ■oke ■▁the ■▁other ■▁day ■▁.
soweli tomo li lape lon suno .	■▁The ■▁cat ■▁was ■▁b ■ask ■ing ■▁in ■▁the ■▁sun ■▁.
sina ken ala ken kepeken e lipu mani ni ?	■▁Do ■▁you ■▁ac ■cept ■▁this ■▁car ■d ■▁?
sina wile sona lon tomo sona pi ma ante tan seme ?	■▁Why ■▁do ■▁you ■▁want ■▁to ■▁study ■▁ab ■ro ■ad ■▁?
sina pilin seme ? tawa sina pi tenpo pini li pona ala pona ?	■▁How ■▁are ■▁you ■▁? ■▁Are ■▁your ■▁pre ■v ■ious ■▁move ■m ■ents ■▁al ■r ■ight ■▁?
ona li lukin e mi .	■▁It ■▁se ■es ■▁me ■▁.
mi tu li kama kulupu mama sin , la mama mije mi li kama jo e tomo ni lon esun li pana e ona tawa mi tu .	■▁When ■▁we ■▁married ■▁my ■▁parents ■▁gave ■▁me ■▁this ■▁house ■▁.
" kalama musi li pona tawa ona . " " mi sama . "	■▁He ■▁likes ■▁the ■▁music ■▁. ■▁I ■▁like ■▁it ■▁, ■▁too ■▁.
pona !	■▁G ■reat ■▁!
mi mute li lape ala tan kalama .	■▁We ■▁could ■▁n't ■▁sleep ■▁on ■▁acc ■ount ■▁of ■▁the ■▁no ■ise ■▁.
ni li pali ala .	■▁That ■▁wo ■▁n't ■▁work ■▁.
mi wile esun e tomo tawa sin .	■▁I ■▁want ■▁to ■▁buy ■▁a ■▁new ■▁bicycle ■▁.
mi tawa mute .	■▁I ■▁travel ■▁often ■▁.
mi wile pona e linja mi .	■▁I ■▁want ■▁to ■▁wash ■▁my ■▁hair ■▁.
o toki e pilin sina .	■▁Tell ■▁me ■▁how ■▁you ■▁feel ■▁.
o lukin e meli lon ni .	■▁Look ■▁at ■▁that ■▁girl ■▁!
jan li wile e ijo suwi la jan li wile pali kiwen .	■▁No ■▁swe ■et ■▁without ■▁swe ■at ■▁.
ona li jo e soweli tu .	■▁He ■▁keep ■s ■▁two ■▁cat ■s ■▁.
ona li jo e soweli tu .	■▁He ■▁has ■▁the ■▁second ■▁an ■imal ■▁.
ona li jo e soweli tu .	■▁He ■▁has ■▁two ■▁cat ■s ■▁.
jan tu li pilin sama la jan wan li namako .	■▁If ■▁two ■▁people ■▁are ■▁in ■▁ag ■re ■em ■ent ■▁, ■▁one ■▁of ■▁them ■▁is ■▁un ■ne ■cess ■ary ■▁.
tenpo pini la mi mute li musi kalama uta ni li pona tawa mi mute .	■▁We ■▁s ■ang ■▁and ■▁we ■▁loved ■▁it ■▁.
jan lili ona li tawa ona li wan li pilin ike tawa ni .	■▁To ■▁her ■▁s ■orrow ■▁, ■▁her ■▁only ■▁son ■▁left ■▁her ■▁alone ■▁.
jan lili mute li musi lon ma kasi pi ma tomo .	■▁Many ■▁children ■▁were ■▁playing ■▁in ■▁the ■▁park ■▁.
tenpo tu wan pi sike mun la tomo mi li pini .	■▁My ■▁house ■▁was ■▁ready ■▁two ■▁months ■▁ago ■▁.
o pana ala e ni tawa supa mi .	■▁Do ■▁n't ■▁put ■▁it ■▁on ■▁my ■▁des ■k ■▁.
soweli li moli .	■▁The ■▁m ■am ■mal ■▁is ■▁dead ■▁.
nasin ni li pona tawa ali .	■▁This ■▁r ■ule ■▁can ■▁be ■▁app ■lie ■d ■▁to ■▁any ■▁c ■ase ■▁.
mi wile e ilo ni pi sitelen tawa .	■▁I ■▁want ■▁this ■▁t ■ele ■v ■ision ■▁.
mi mute o pali e toki sin tan ni : jan ala li ken sona e sona pi toki pi mi mute !	■▁Let ■▁'s ■▁make ■▁our ■▁own ■▁language ■▁so ■▁no ■▁one ■▁will ■▁know ■▁what ■▁we ■▁'re ■▁talking ■▁about ■▁!
kon wawa li pakala e kasi moku .	■▁The ■▁st ■orm ■▁did ■▁heav ■y ■▁dam ■age ■▁to ■▁the ■▁c ■ro ■p ■s ■▁.
tenpo suno pini la mi esun e lipu .	■▁I ■▁bought ■▁a ■▁book ■▁yesterday ■▁.
tenpo sike luka luka li kama pini .	■▁Ten ■▁years ■▁have ■▁gone ■▁by ■▁.
kasi en kiwen li lon telo la ni li kama : kasi li lon sewi telo . kiwen li lon anpa telo .	■▁If ■▁pl ■ants ■▁and ■▁st ■on ■es ■▁are ■▁in ■▁the ■▁water ■▁then ■▁this ■▁will ■▁happen ■▁: ■▁the ■▁pl ■ants ■▁flo ■at ■▁and ■▁the ■▁ro ■ck ■s ■▁s ■ink ■▁.
kasi en kiwen li lon telo la ni li kama : kasi li lon sewi telo . kiwen li lon anpa telo .	■▁In ■▁water ■▁, ■▁w ■ood ■▁will ■▁flo ■at ■▁and ■▁st ■one ■▁will ■▁s ■ink ■▁.
mi sona e toki sina .	■▁I ■▁know ■▁your ■▁language ■▁.
tenpo seme la pali li pini ?	■▁How ■▁long ■▁will ■▁it ■▁take ■▁to ■▁finish ■▁the ■▁work ■▁?
mi jo e mani lili .	■▁I ■▁have ■▁run ■▁short ■▁of ■▁money ■▁.
telo li lon poki ona .	■▁His ■▁bag ■▁was ■▁f ■ill ■ed ■▁with ■▁water ■▁.
ona li ken ala pali e ni .	■▁He ■▁is ■▁un ■able ■▁to ■▁do ■▁it ■▁.
sina ken lukin e suno lili mute lon sewi .	■▁You ■▁can ■▁see ■▁a ■▁lot ■▁of ■▁star ■s ■▁in ■▁the ■▁sky ■▁.
ni li ike : jan li pakala e jan ante .	■▁It ■▁is ■▁bad ■▁to ■▁hurt ■▁others ■▁.
mije li ken ala lukin pona .	■▁He ■▁has ■▁poor ■▁eyes ■ight ■▁.
mi ken ala moku e suwi mute .	■▁I ■▁am ■▁d ■ia ■b ■et ■ic ■▁.
mije sama pi mama mije ona li pana e moku e len lon ona tan ni : ona li jan lili la mama ona li kama moli .	■▁Be ■c ■ause ■▁his ■▁parents ■▁had ■▁died ■▁when ■▁he ■▁was ■▁young ■▁, ■▁his ■▁un ■cle ■▁brought ■▁him ■▁up ■▁.
mi wile kepeken e mani lipu .	■▁I ■▁'d ■▁like ■▁to ■▁pay ■▁in ■▁c ■ash ■▁.
tenpo lete li pini .	■▁Winter ■▁has ■▁gone ■▁.
toki li kiwen walo . toki ala li kiwen jelo .	■▁Spe ■e ■ch ■▁is ■▁s ■il ■ver ■▁, ■▁but ■▁s ■ilen ■ce ■▁is ■▁go ■ld ■en ■▁.
toki li kiwen walo . toki ala li kiwen jelo .	■▁Spe ■e ■ch ■▁is ■▁s ■il ■ver ■▁, ■▁s ■ilen ■ce ■▁is ■▁go ■ld ■▁.
toki li kiwen walo . toki ala li kiwen jelo .	■▁Spe ■e ■ch ■▁is ■▁s ■il ■ver ■▁, ■▁s ■ilen ■ce ■▁is ■▁go ■ld ■en ■▁.
soweli li lukin e mi la soweli li tawa mi .	■▁No ■▁soon ■er ■▁had ■▁the ■▁dog ■▁seen ■▁me ■▁than ■▁it ■▁ran ■▁up ■▁to ■▁me ■▁.
o tawa supa monsi sina .	■▁Go ■▁back ■▁to ■▁your ■▁se ■at ■▁.
tenpo suno sin ali la sina pilin pona .	■▁You ■▁look ■▁on ■▁top ■▁of ■▁the ■▁world ■▁every ■▁morning ■▁.
tenpo suno sin ali la sina pilin pona .	■▁Every ■▁new ■▁day ■▁you ■▁feel ■▁good ■▁.
o pali ala pi mute ike .	■▁Do ■▁n't ■▁work ■▁too ■▁hard ■▁!
lupa tu wan li lon tomo mi .	■▁My ■▁room ■▁has ■▁three ■▁window ■s ■▁.
mije li wan tawa meli .	■▁He ■▁is ■▁b ■ound ■▁to ■▁her ■▁.
toki musi li pona tawa sijelo pona .	■▁K ■ar ■a ■oke ■▁is ■▁good ■▁for ■▁red ■u ■c ■ing ■▁str ■ess ■▁.
mije pona o , pona .	■▁Oh ■▁, ■▁thank ■▁you ■▁, ■▁kind ■▁s ■ir ■▁.
ni li kulupu pi jan mute lili lon ma .	■▁There ■▁are ■▁se ■veral ■▁pe ■op ■les ■▁in ■▁the ■▁country ■▁.
ona li jo e len noka walo .	■▁She ■▁had ■▁white ■▁shoes ■▁on ■▁.
mi pana e sona tawa sina .	■▁I ■▁will ■▁explain ■▁it ■▁for ■▁you ■▁.
ni li pona ala lukin e lipu toki .	■▁No ■▁book ■▁is ■▁worth ■▁reading ■▁.
ona li utala tan ni : ona li kama jo e ma sin .	■▁They ■▁ex ■tended ■▁their ■▁ter ■r ■it ■ory ■▁by ■▁con ■qu ■est ■▁.
mi mute li pilin ike tan ni : kon en sewi li ike .	■▁We ■▁are ■▁sorry ■▁about ■▁the ■▁bad ■▁weather ■▁.
mije o kalama ala !	■▁Could ■▁you ■▁be ■▁a ■▁little ■▁qu ■ie ■ter ■▁, ■▁s ■ir ■▁?
mi mute li toki tawa jan ante kepeken toki .	■▁We ■▁comm ■un ■ic ■ate ■▁with ■▁one ■▁another ■▁by ■▁means ■▁of ■▁language ■▁.
ali li tawa poka ala mije .	■▁L ■ife ■▁pass ■ed ■▁him ■▁by ■▁.
ona li lape li kalama mute .	■▁He ■▁was ■▁sn ■or ■ing ■▁l ■oud ■ly ■▁while ■▁he ■▁s ■le ■pt ■▁.
mi mute li kute e ni : mije lili li kalama kepeken ilo linja .	■▁We ■▁heard ■▁the ■▁boy ■▁playing ■▁the ■▁v ■i ■ol ■in ■▁.
ona mute li wile lape .	■▁They ■▁must ■▁have ■▁been ■▁tired ■▁.
ona li kama ala lukin e nasin ona lon ma tomo .	■▁He ■▁got ■▁lost ■▁in ■▁the ■▁city ■▁.
o tawa ala weka .	■▁Do ■▁n't ■▁you ■▁go ■▁away ■▁.
pali musi li pona ala pona tawa sina ?	■▁Do ■▁you ■▁have ■▁any ■▁interest ■▁in ■▁sp ■ort ■s ■▁?
ona li pini e lupa . ona li jo e pilin ike wawa .	■▁He ■▁b ■ang ■ed ■▁the ■▁door ■▁in ■▁anger ■▁.
tenpo lili la mije li kama jo e mani tawa tomo tawa ona .	■▁He ■▁sold ■▁his ■▁own ■▁car ■▁without ■▁h ■es ■it ■ation ■▁.
sina ken ala ken tawa kepeken noka kepeken oko sina pi open ala ?	■▁Can ■▁you ■▁walk ■▁with ■▁your ■▁eyes ■▁closed ■▁?
tomo tawa ni li tawa seme ?	■▁Where ■▁is ■▁this ■▁train ■▁b ■ound ■▁?
ona li pilin e telo kama tan sewi lon sinpin lawa ona .	■▁He ■▁felt ■▁the ■▁rain ■▁on ■▁his ■▁face ■▁.
mi mute li lili , la mama mije pi mi mute li toki e sitelen lipu pi pilin pona tawa mi mute .	■▁Our ■▁father ■▁used ■▁to ■▁read ■▁us ■▁happy ■▁st ■or ■ies ■▁when ■▁we ■▁were ■▁small ■▁.
sina lon seme ?	■▁Where ■▁are ■▁you ■▁?
ona li moku e kili .	■▁She ■▁'s ■▁eating ■▁fr ■u ■it ■▁.
mi wile ala wan e mije .	■▁I ■▁married ■▁him ■▁against ■▁my ■▁will ■▁.
tenpo ni la mi ken ala pali .	■▁I ■▁am ■▁not ■▁ready ■▁yet ■▁.
mi wile lape .	■▁I ■▁want ■▁to ■▁sleep ■▁.
soweli lili li wile lape .	■▁The ■▁k ■itten ■▁wants ■▁to ■▁sleep ■▁.
mi pana e mani tawa moku sina . mi pona e tomo sina . mi seli e moku sina .	■▁I ■▁'ll ■▁do ■▁your ■▁shop ■ping ■▁, ■▁clean ■▁up ■▁the ■▁house ■▁, ■▁and ■▁cook ■▁your ■▁dinner ■▁for ■▁you ■▁.
tenpo lili la telo li anpa . o lukin e sewi pimeja .	■▁It ■▁'s ■▁going ■▁to ■▁rain ■▁soon ■▁. ■▁Look ■▁at ■▁those ■▁black ■▁cl ■oud ■s ■▁.
sina ken tawa ni .	■▁You ■▁may ■▁go ■▁there ■▁.
sina wile la sina ken kepeken e supa mi .	■▁You ■▁can ■▁use ■▁my ■▁des ■k ■▁if ■▁you ■▁want ■▁to ■▁.
mi wile tawa ma NI ##JON .	■▁I ■▁wann ■a ■▁go ■▁to ■▁Japan ■▁.
o pakala ala e sike waso .	■▁Please ■▁keep ■▁from ■▁bre ■aking ■▁the ■▁eg ■gs ■▁.
tenpo sin la sina kama ala kama sona pi toki IN ##LI ?	■▁Did ■▁you ■▁try ■▁to ■▁re ■v ■ie ■w ■▁the ■▁English ■▁less ■ons ■▁?
tenpo weka pali li pona ala pona tawa sina ?	■▁Did ■▁you ■▁enjoy ■▁your ■▁hol ■id ■ay ■▁?
ni li pona tawa mi mute : mi mute li lon poka meli .	■▁It ■▁'s ■▁great ■▁fun ■▁for ■▁us ■▁to ■▁be ■▁with ■▁her ■▁.
mi lukin e meli . mi ken ala pini .	■▁I ■▁ca ■▁n't ■▁take ■▁my ■▁eyes ■▁off ■▁her ■▁.
mi wile kama sona e toki I ##WI ##SI .	■▁I ■▁want ■▁to ■▁study ■▁He ■bre ■w ■▁.
lon . pilin mi li pona .	■▁Y ■es ■▁, ■▁I ■▁have ■▁a ■▁good ■▁idea ■▁.
meli sama pi mama mije mi li pana e kasi kule tawa mi .	■▁My ■▁a ■un ■t ■▁brought ■▁me ■▁some ■▁flowers ■▁.
mi tawa ma , la tenpo sama la telo li kama anpa .	■▁Just ■▁as ■▁I ■▁went ■▁to ■▁go ■▁out ■▁, ■▁it ■▁began ■▁to ■▁rain ■▁.
o wan e nanpa ni .	■▁A ■d ■d ■▁up ■▁these ■▁f ■ig ■ures ■▁.
mi pilin e ni . jan ante li pilin sama .	■▁I ■▁am ■▁not ■▁alone ■▁in ■▁thinking ■▁so ■▁.
ona li lili , la mi sona e ona .	■▁I ■▁have ■▁known ■▁him ■▁ever ■▁since ■▁he ■▁was ■▁a ■▁child ■▁.
sona pi jan nasa li ala .	■▁Kn ■ow ■led ■ge ■▁without ■▁comm ■on ■▁sense ■▁count ■s ■▁for ■▁nothing ■▁.
mi olin e sina .	■▁I ■▁love ■▁you ■▁.
luka mi li lon telo seli .	■▁My ■▁hand ■▁is ■▁in ■▁warm ■▁water ■▁.
sina sona e ni : meli li jan lili .	■▁She ■▁is ■▁a ■▁m ■ere ■▁child ■▁, ■▁you ■▁know ■▁.
sina lukin e tenpo kama . sina ken pali e ijo ali .	■▁You ■▁are ■▁for ■es ■igh ■ted ■▁and ■▁will ■▁su ■c ■ce ■ed ■▁.
mi sona ala e ni .	■▁I ■▁have ■▁no ■▁idea ■▁.
mi sona ala e ni .	■▁I ■▁do ■▁n't ■▁understand ■▁this ■▁.
mi sona ala e ni .	■▁I ■▁did ■▁not ■▁know ■▁this ■▁.
ni li pona ala pona tawa sina ? sina tawa musi .	■▁How ■▁would ■▁you ■▁like ■▁to ■▁go ■▁to ■▁a ■▁d ■ance ■▁?
meli ni li pona tawa sina tan seme ?	■▁Will ■▁you ■▁tell ■▁me ■▁why ■▁you ■▁like ■▁her ■▁?
ni li olin ala olin ?	■▁Is ■▁it ■▁love ■▁?
" sina wile e seme ? " " mi wile e soweli . "	■▁What ■▁do ■▁you ■▁want ■▁? ■▁I ■▁want ■▁an ■▁an ■imal ■▁.
sina wile ala wile e moku telo ?	■▁Would ■▁you ■▁like ■▁something ■▁to ■▁drink ■▁?
sina wile ala wile e moku telo ?	■▁Do ■▁you ■▁want ■▁s ■oup ■▁?
sina wile seme e ona ?	■▁What ■▁do ■▁you ■▁want ■▁to ■▁do ■▁to ■▁her ■▁?
sina wile ala wile tawa ?	■▁Do ■▁you ■▁want ■▁to ■▁go ■▁?
mi wile e ni : sina pana e pona tawa mi .	■▁I ■▁need ■▁your ■▁help ■▁.
sina wile pali e seme ?	■▁What ■▁do ■▁you ■▁want ■▁to ■▁do ■▁?
sina wile moku e seme ?	■▁What ■▁do ■▁you ■▁want ■▁to ■▁eat ■▁?
sina wile toki e seme ?	■▁What ■▁do ■▁you ■▁want ■▁to ■▁say ■▁?
sina wile ala wile lape ?	■▁Do ■▁you ■▁want ■▁to ■▁sleep ■▁?
pilin meli li pona tawa mi mute .	■▁N ■one ■▁of ■▁us ■▁are ■▁against ■▁her ■▁idea ■▁.
moku telo ni li wile e namako lili .	■▁This ■▁s ■oup ■▁wants ■▁a ■▁bit ■▁of ■▁s ■alt ■▁.
sina toki ala toki tawa jan pona lon ma KAN ##TA ?	■▁Did ■▁you ■▁call ■▁your ■▁friend ■▁in ■▁Canad ■a ■▁?
mi pana e sona tawa meli .	■▁I ■▁will ■▁explain ■▁it ■▁to ■▁her ■▁.
mi sona ala e ni : tenpo seme la meli li wan .	■▁I ■▁do ■▁n't ■▁know ■▁when ■▁she ■▁got ■▁married ■▁.
soweli pi noka wawa li jo e kute suli .	■▁A ■▁ra ■b ■b ■it ■▁has ■▁long ■▁ear ■s ■▁.
mije li tawa ala .	■▁He ■▁will ■▁not ■▁go ■▁.
jan TON li lon lupa .	■▁Ton ■y ■▁st ■ood ■▁at ■▁the ■▁door ■▁.
mi pana e ijo mi lon poki .	■▁I ■▁have ■▁already ■▁p ■ack ■ed ■▁my ■▁things ■▁.
tenpo suno kama la mi kama tawa tomo mi .	■▁I ■▁should ■▁be ■▁back ■▁home ■▁the ■▁next ■▁day ■▁.
mi olin e meli . mi ken ala tawa weka tan meli .	■▁I ■▁love ■▁her ■▁so ■▁much ■▁that ■▁I ■▁ca ■▁n't ■▁leave ■▁her ■▁.
mi kama jo e ijo lili tawa sina .	■▁I ■▁will ■▁pick ■▁up ■▁a ■▁little ■▁something ■▁for ■▁you ■▁.
mi wile e ni : sina toki e lon tawa mi .	■▁I ■▁wish ■▁you ■▁had ■▁told ■▁me ■▁the ■▁truth ■▁.
mi mute li tawa tomo sona tawa ni : mi mute li kama sona .	■▁We ■▁go ■▁to ■▁school ■▁to ■▁study ■▁.
kala ni li moku ike .	■▁This ■▁fish ■▁is ■▁un ■f ■it ■▁to ■▁eat ■▁.
mi pilin ala e ni : telo mute li anpa . kon li tawa wawa .	■▁L ■ittle ■▁did ■▁I ■▁think ■▁there ■▁would ■▁be ■▁a ■▁t ■yp ■ho ■on ■▁.
mi pilin ante tan sina lon ni .	■▁I ■▁ca ■▁n't ■▁agree ■▁with ■▁you ■▁on ■▁this ■▁matter ■▁.
tenpo ni la ona li kama ala kama ?	■▁H ■as ■▁he ■▁come ■▁yet ■▁?
ni li nasa : mije li kama ala .	■▁It ■▁is ■▁strange ■▁that ■▁he ■▁has ■▁not ■▁come ■▁yet ■▁.
kon li kon .	■▁The ■▁wind ■▁bl ■ow ■s ■▁.
sina pilin e ni : toki meli li lon ala lon ?	■▁Do ■▁you ■▁think ■▁her ■▁story ■▁is ■▁fal ■se ■▁?
tenpo telo li pini la telo li lon nasin .	■▁After ■▁the ■▁rain ■▁, ■▁there ■▁were ■▁p ■ud ■d ■les ■▁on ■▁the ■▁street ■▁.
insa pi tomo tawa li pilin lete .	■▁An ■▁i ■cy ■▁ch ■ill ■▁st ■ole ■▁into ■▁the ■▁car ■▁.
mi pana e tomo tawa sina .	■▁I ■▁gave ■▁your ■▁car ■▁.
mi pana e tomo tawa sina .	■▁I ■▁gave ■▁the ■▁house ■▁to ■▁you ■▁.
mi moku e kili palisa .	■▁I ■▁am ■▁eating ■▁a ■▁b ■an ■an ■a ■▁.
mi moku ala .	■▁I ■▁am ■▁not ■▁eating ■▁.
mi moku ala .	■▁I ■▁do ■▁n't ■▁eat ■▁.
ona li wile tawa musi .	■▁She ■▁wants ■▁to ■▁d ■ance ■▁.
mi mute li jan .	■▁We ■▁are ■▁people ■▁.
mi mute li mije .	■▁We ■▁are ■▁men ■▁.
sina mute li jan lili .	■▁You ■▁are ■▁children ■▁.
ona li olin e mi . taso mi olin ala e ona .	■▁She ■▁loves ■▁me ■▁. ■▁But ■▁I ■▁do ■▁not ■▁love ■▁her ■▁.
ona li olin e mi . taso mi olin ala e ona .	■▁He ■▁loves ■▁me ■▁. ■▁But ■▁I ■▁do ■▁not ■▁love ■▁him ■▁.
pan suwi ni li pona tawa mi .	■▁This ■▁cake ■▁is ■▁very ■▁del ■ic ■ious ■▁.
mije li lape pini la ona taso li kama supa lon nena .	■▁When ■▁he ■▁came ■▁to ■▁, ■▁he ■▁was ■▁lying ■▁alone ■▁on ■▁the ■▁h ■ill ■▁.
mi lukin e ni : mama mije ona li toki wawa tawa ona .	■▁I ■▁saw ■▁him ■▁sc ■o ■ld ■ed ■▁by ■▁his ■▁father ■▁.
mi toki kepeken ilo toki , la ona li kama lon tomo mi .	■▁Wh ■ile ■▁I ■▁was ■▁talking ■▁on ■▁the ■▁phone ■▁, ■▁she ■▁came ■▁to ■▁see ■▁me ■▁.
meli li jo e sona mute . meli li wile sona mute .	■▁She ■▁is ■▁very ■▁sm ■art ■▁, ■▁and ■▁what ■▁is ■▁more ■▁, ■▁she ■▁stud ■ies ■▁hard ■▁.
tenpo lili la ona li kama sona .	■▁He ■▁is ■▁quick ■▁to ■▁learn ■▁.
sina jan .	■▁You ■▁'re ■▁a ■▁person ■▁.
mi jan lili la mi en mama mi li alasa e kala .	■▁I ■▁used ■▁to ■▁go ■▁f ■is ■hing ■▁with ■▁my ■▁father ■▁when ■▁I ■▁was ■▁a ■▁child ■▁.
ma LO ##SI li suli .	■▁Russ ■ia ■▁is ■▁big ■▁.
linja pi jan SU ##SI li suli mute .	■▁S ■us ■ie ■▁'s ■▁hair ■▁is ■▁very ■▁long ■▁.
